"","XX_rep1","XX_rep2","XX_rep3","XX_rep8","XX_rep9","XX_rep10","Xm_rep1","Xm_rep3","Xm_rep7","Xm_rep8","Xm_rep13","Xm_rep15","Xp_rep1","Xp_rep2","Xp_rep3","Xp_rep4","Xp_rep7","Xp_rep9"
"ADA",9.24173083212688,8.79369877785678,9.26695434198682,8.65385136621209,8.9419965368656,8.24876751692369,9.05400083140972,8.48983133093463,8.8388685641415,7.92242471946152,8.47573953404799,9.23924199760322,9.23459439863213,7.69785886674089,8.32151258170028,9.04074947968569,7.86319375509039,8.74253821057098
"AKT3",6.130201710171,5.67915546408111,6.11356956766894,5.75123717828297,6.3858552135775,5.65814678415494,6.50007649135335,6.00712768952941,4.74391247730735,4.92042524856175,5.62516893460964,5.20314383449039,6.360225509359,5.65477270893881,5.04601973567816,5.49828682502228,5.47602636600865,5.47693324011033
"MED6",8.55763668362316,8.5491029218029,8.13931246602595,8.36567179822162,8.37998625720774,7.54612041620003,8.28394058663932,7.76217522417909,7.55324040086805,7.42358235314155,8.27005523233029,7.95954837451461,7.85273783341488,7.11310718650562,7.89498714816519,8.0472942398163,7.67368517472631,7.75175428412104
"KCNE3",6.81137896336182,8.2586669970536,7.3765099004941,7.34614640426006,7.0690787559477,5.56934876324431,5.38113979972864,6.1183225044478,6.83008615888606,7.82284626793045,7.02864650648321,6.77635032802586,5.98919819945407,5.54178983471248,6.52370912693816,7.99191793805538,5.4242266521254,6.9981655227003
"TANK",6.75284205132735,6.58776328612077,6.98671424593677,6.39753532091547,6.51474854276043,5.21112214427615,5.7749520434239,4.57566437532012,5.49770501381172,5.63861301108046,6.01670132665702,5.70905784346776,5.13887106692968,4.39477874200568,4.49577410915805,6.36469492833151,4.83087088879757,5.67781944565247
"TMEM170B",8.5411221885126,9.29795363775907,9.91697515243117,10.1971636868725,9.64706541721092,10.30479578608,7.56151735555729,8.69126854258222,8.11694101919592,9.59226399903847,9.34838452836945,8.99265313131109,9.05067179574692,8.63537217778106,8.57863069706822,8.78711761104472,8.92015378898398,9.15610856633531
"ZNF667-AS1",6.86111748899857,5.75754367688108,5.11217484797996,6.20152091953222,5.36439919756005,6.04704323807316,5.99193153258213,5.00803046529846,6.5891428504891,5.06020917546097,5.79953420117049,5.2163676566205,4.57187608776245,5.9445899349548,6.55881636506203,6.53546626210246,6.23081331951498,6.04310274335558
"LINC00476",5.12792178336718,4.81221935085282,5.58130995239336,5.37222877885301,4.99383510244922,5.13087829281664,6.15001405105114,5.0556695502378,4.85455944195487,4.84841349637482,5.87104848210737,4.77353200010517,5.39997190846311,4.77368808498219,4.77076346407831,6.30926673132973,5.98231618361981,4.7488450429938
"LINC01003",8.90773469253434,8.45118138210397,8.66375272902085,9.13010418649178,7.98243771816921,7.81554213040585,7.69301286763786,7.9628666089984,7.43619376840033,8.45359910817343,8.32687421275635,8.32427331791456,7.31278207244985,7.51189018261947,7.75331221588823,8.3542632698745,8.21955172216967,8.48732147131321
"GABPB1-AS1",5.92575611184283,6.67126666840064,7.31949666863256,4.66466292180472,6.39091423950726,7.64242764747004,6.04897939045193,4.81989614763437,4.72689219976268,4.37191299474616,5.98749620432002,5.75388624934262,4.92747767277094,8.08625707432435,4.75323295504405,5.41109145411888,6.71289707722345,5.00205614865959
